timestamp,solar_kw,wind_kw,total_supply_kw,demand_mw,imbalance,action
2024-01-01 00:00:00,186.18,0.83,187.01,16170.36,-15983.36,Use Backup Power
2024-01-01 01:00:00,198.09,0.8,198.89,15722.39,-15523.5,Use Backup Power
2024-01-01 02:00:00,183.02,0.83,183.85,15428.32,-15244.48,Use Backup Power
2024-01-01 03:00:00,200.79,0.81,201.59,16818.04,-16616.44,Use Backup Power
2024-01-01 04:00:00,231.52,0.82,232.34,16959.04,-16726.7,Use Backup Power
2024-01-01 05:00:00,212.68,0.83,213.51,16140.26,-15926.75,Use Backup Power
2024-01-01 06:00:00,229.77,0.82,230.59,17657.95,-17427.36,Use Backup Power
2024-01-01 07:00:00,233.67,0.81,234.48,18334.85,-18100.37,Use Backup Power
2024-01-01 08:00:00,175.79,0.8,176.59,17846.0,-17669.41,Use Backup Power
2024-01-01 09:00:00,240.17,0.82,240.99,18823.45,-18582.46,Use Backup Power
2024-01-01 10:00:00,201.57,0.81,202.39,18511.57,-18309.19,Use Backup Power
2024-01-01 11:00:00,182.59,0.83,183.42,19061.79,-18878.38,Use Backup Power
2024-01-01 12:00:00,218.13,0.8,218.93,18141.87,-17922.94,Use Backup Power
2024-01-01 13:00:00,206.52,0.8,207.32,18282.83,-18075.51,Use Backup Power
2024-01-01 14:00:00,220.55,0.82,221.37,17495.96,-17274.59,Use Backup Power
2024-01-01 15:00:00,219.65,0.8,220.45,17429.89,-17209.44,Use Backup Power
2024-01-01 16:00:00,198.22,0.83,199.05,18083.26,-17884.22,Use Backup Power
2024-01-01 17:00:00,113.99,0.81,114.8,18303.81,-18189.0,Use Backup Power
2024-01-01 18:00:00,195.53,0.81,196.33,18376.59,-18180.26,Use Backup Power
2024-01-01 19:00:00,165.46,0.8,166.27,18377.01,-18210.74,Use Backup Power
2024-01-01 20:00:00,162.41,0.8,163.21,18200.15,-18036.94,Use Backup Power
2024-01-01 21:00:00,181.98,0.8,182.78,18069.32,-17886.54,Use Backup Power
2024-01-01 22:00:00,221.47,0.8,222.27,17523.25,-17300.98,Use Backup Power
2024-01-01 23:00:00,145.54,0.8,146.34,17166.66,-17020.32,Use Backup Power
